,question,golden_answer,answer,judge,model
1780,list of strict nature reserve in the philippines,Palawan,"1. Apo Reef Natural Park
2. Tubbataha Reefs Natural Park
3. Northern Sierra Madre Natural Park
4. Mt. Iglit-Baco National Park
5. Mt. Kitanglad Range Natural Park
6. Mts. Malindang Range Natural Park
7. Mt. Pulag National Park
8. Mt. Kanlaon Natural Park
9. Mt. Banahaw-San Cristobal Protected Landscape",False,gpt35
1782,how and why were serial novels a phenomenon in the nineteenth century,improved economics of distribution,"Serial novels were a phenomenon in the nineteenth century because they allowed authors to reach a wide audience and generate income from their work. Serialized novels were published in magazines and newspapers, which were widely distributed and affordable. This allowed authors to publish their work in a form that was easily accessible to the public. Serialized novels were also popular because they created a sense of anticipation and excitement, as readers would have to wait for the next installment to be published. The serialized format also allowed authors to",False,gpt35
1783,who eliminated costa rica in world cup 2014,Netherlands,The Netherlands eliminated Costa Rica in the 2014 World Cup by defeating them 4-3 in a penalty shoot-out after the two sides had drawn 0-0 after extra time.,True,gpt35
1784,how many countries touches the land boundary of india,seven,"India shares land boundaries with seven countries: Pakistan, Afghanistan, China, Nepal, Bhutan, Bangladesh and Myanmar.",True,gpt35
1785,who was the 11th prime minister of canada,R. B. Bennett,"?

The 11th Prime Minister of Canada was Kim Campbell, who served from June 25, 1993 to November 4, 1993.",False,gpt35
1786,when did the steel mills closed in youngstown ohio,"September 19, 1977","The first steel mill closed in Youngstown, Ohio in 1977. The last steel mill closed in September of 2019.",True,gpt35
1787,who owns and operates the panama canal today,Panama Canal Authority,The Panama Canal is owned and operated by the Panama Canal Authority (ACP). The ACP is a government-owned corporation responsible for the operation and maintenullce of the Panama Canal.,True,gpt35
1788,where is a simple gear train used in real life,Automobile drivetrains,"Simple gear trains are used in a variety of applications, such as clocks, watches, bicycles, cars, and other machines. They are used to transfer motion from one rotating shaft to another, to change the speed of rotation, or to change the direction of rotation.",True,gpt35
1789,who plays the dad in malcom in the middle,Bryan Cranston,"Bryan Cranston plays Hal, the father in Malcolm in the Middle.",True,gpt35
1791,where are the winter olympic games being played,Beijing,"The 2022 Winter Olympics will be held in Beijing, China from February 4th to February 20th, 2022.",True,gpt35
1792,who made the song falling in love with you,Hugo Peretti,"The song ""Falling in Love with You"" was written by the American singer-songwriter and musician Elvis Presley.",True,gpt35
1793,where did saudi crown prince go to college,King Saud University,"The Saudi Crown Prince, Mohammed bin Salman, did not attend college.",False,gpt35
1794,who did the singing in into the woods,the cast,"The singing in Into the Woods was performed by a cast of actors and actresses, including Meryl Streep, Emily Blunt, James Corden, Anna Kendrick, Chris Pine, and Johnny Depp.",True,gpt35
1795,who was the viceroy when the simon commission visited india,Lord Irwin,The viceroy of India when the Simon Commission visited in 1928 was Lord Irwin.,True,gpt35
1796,who in germany signed the treaty of versailles,Gustav Bauer,"The Treaty of Versailles was signed on June 28, 1919, by Germany and the Allied Powers. The representatives of Germany were Foreign Minister Ulrich von Brockdorff-Rantzau and other German officials.",False,gpt35
1798,when did the movie the post begin filming,May 2017,"Principal photography for The Post began on May 30, 2017.",True,gpt35
1799,who starred in an officer and a gentleman,Richard Gere,The actor Richard Gere starred in An Officer and a Gentleman.,True,gpt35
1800,what does the msc in msc cruises stand for,Mediterranean Shipping Company S.A.,MSC stands for Mediterranean Shipping Company.,True,gpt35
1803,when does closure of the ductus arteriosus occur,at birth,"The ductus arteriosus typically closes shortly after birth, usually within the first few days of life.",True,gpt35
1804,who does the voice of the elephant in sing,Tori Kelly,The voice of the elephant in Sing was provided by Garth Jennings.,False,gpt35
1805,who is the lead singer of depeche mode,David Gahan,The lead singer of Depeche Mode is Dave Gahan.,True,gpt35
1806,when does season 2 of just add magic come out,"October 14, 2016","Season 2 of Just Add Magic is scheduled to premiere on Amazon Prime Video on January 13, 2017.",False,gpt35
1807,when does scully come back in season 2,One Breath,"Scully returns in the season 2 premiere episode, ""Little Green Men"", which first aired on September 21, 1995.",True,gpt35
1808,what is the process to become a santero,a cleansing ritual,"1. Learn about the religion and its history: Santeria is a syncretic religion that combines the beliefs of the Yoruba people of West Africa with Roman Catholicism. It is important to understand the history of the religion and its practices before attempting to become a Santero.

2. Find a mentor: It is important to find a mentor who is already a Santero and is willing to teach you. A mentor will provide guidance and advice on how to become a",False,gpt35
1809,how many countries participated for the first time in the 2014 olympic winter games in sochi,Brazil,A total of 88 countries participated in the 2014 Olympic Winter Games in Sochi.,False,gpt35
1810,how many episodes in series 7 of game of thrones are there,7,There are 7 episodes in Series 7 of Game of Thrones.,True,gpt35
1812,where does the last name andersen originate from,Danish,"The last name Andersen is believed to have originated from the Scandinavian countries of Denmark, Norway, and Sweden. It is derived from the name Anders, which is a form of the name Andrew, meaning 'manly' or 'brave'.",True,gpt35
1813,what is best thing i never had song about,revenge and karma,"The best song about something you never had is ""What You Never Had"" by John Legend. The lyrics of the song explore the idea of longing for something you can never have and the sadness that comes with it.",False,gpt35
1814,what started the war between us and japan,attack on Pearl Harbor,"The war between the United States and Japan began on December 7, 1941, when Japan launched a surprise attack on Pearl Harbor.",True,gpt35
1815,tad the lost explorer and the secret of king midas english cast,Ariel Winter as Sara Lavrof,"The voice cast for Tad the Lost Explorer and the Secret of King Midas includes:
* Óscar Barberán as Tad
* Michelle Jenner as Sara Lavroff
* Adriana Ugarte as Laura
* Miguel Ángel Jenner as Don Pedro
* Jordi Díaz as Tex
* Carlos Latre as Professor Lavroff
* Julián López as Kopponen
* Vicente Gil as King Midas
* José",False,gpt35
1816,who were the nationalist in the spanish civil war,the CEDA,"The Nationalists were a coalition of conservative, monarchist, and fascist forces led by General Francisco Franco during the Spanish Civil War (1936–1939). The Nationalists included the Spanish Army, the Spanish Catholic Church, the Spanish Falange (a fascist political party), and the Carlist militias.",True,gpt35
1817,winner of the women's royal rumble match,Asuka,The 2021 Women's Royal Rumble match was won by Bianca Belair.,False,gpt35
1818,striking the funny bone is actually compression of the,The ulnar nerve,"ulnar nerve

The ulnar nerve runs along the inner part of the elbow and is responsible for the sensation of pain when the funny bone is hit. When the nerve is compressed, it causes a sensation of pain or tingling in the arm and hand.",True,gpt35
1819,list of rights protected by the first amendment,the free exercise of religion,"1. Freedom of speech
2. Freedom of the press
3. Freedom of religion
4. Freedom of assembly
5. The right to petition the government",True,gpt35
1820,what is the name of the main artery which takes blood from the heart to the body,The aorta,The main artery that takes blood from the heart to the body is the aorta.,True,gpt35
1821,what percentage of the us population lives below the poverty line,13.5%,Approximately 13.4% of the U.S. population lives below the poverty line.,False,gpt35
1823,animals that are active at dawn and dusk,Crepuscular,"-Owls
-Coyotes
-Foxes
-Raccoons
-Deer
-Bats
-Skunks
-Rabbits
-Opossums
-Squirrels",False,gpt35
1824,input that tells the computer which task to execute is,source code,"called a

Command.",True,gpt35
1825,who did the voiceover in michael jackson's thriller,Vincent Price,The voiceover was done by Vincent Price.,True,gpt35
